Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,H2_Load_tonneperhr_z1,H2_Load_tonneperhr_z2,H2_Load_tonneperhr_z3,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
43,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
44,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
45,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
46,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
47,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
48,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
49,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
50,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
51,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
52,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
53,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
54,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
55,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
56,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
57,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
58,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
59,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
60,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
61,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
62,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
63,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
64,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
65,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
66,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
67,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
68,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
69,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
70,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
71,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
72,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
73,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
74,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
75,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
76,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
77,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
78,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
79,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
80,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
81,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
82,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
83,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
84,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
85,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
86,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
87,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
88,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
89,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
90,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
91,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
92,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
93,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
94,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
95,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
96,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
97,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
98,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
99,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
100,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
101,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
102,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
103,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
104,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
105,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
106,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
107,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
108,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
109,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
110,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
111,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
112,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
113,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
114,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
115,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
116,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
117,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
118,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
119,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
120,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
121,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
122,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
123,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
124,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
125,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
126,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
127,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
128,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
129,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
130,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
131,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
132,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
133,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
134,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
135,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
136,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
137,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
138,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
139,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
140,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
141,100,100,100,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
